id,topic,style,type,ko,en,model,prompt_version,created_at,split
966,건강,대화체,조건문,스트레스를 관리하지 않으면 문제가 생길 수 있어.,"If you don't manage your stress, problems may arise.",gpt-4o-mini,v2_structured,20251205_160208,train
4599,경제/금융,감정 표현 스타일,비교문,이 주식의 수익률은 다른 주식들보다 더 높아.,The return on this stock is higher than that of other stocks.,gpt-4o-mini,v2_structured,20251205_160208,train
5010,스포츠,기술 설명체,조건문,체스에서는 전략이 승패를 좌우하니까 깊게 생각해야 해.,"In chess, strategy determines the outcome, so you need to think deeply.",gpt-4o-mini,v2_structured,20251205_160208,train
6583,고객센터,고객센터 안내 스타일,단문,신속한 처리 부탁드려요.,I would appreciate a quick resolution.,gpt-4o-mini,v2_structured,20251205_160208,train
1596,식당,SNS 스타일,명령/요청문,테이크아웃 가능해요?,Is takeout available?,gpt-4o-mini,v2_structured,20251205_160208,train
7823,직장 관계,뉴스 기사체,명령/요청문,상사와의 관계를 개선하는 게 중요해.,It's important to improve relationships with your supervisor.,gpt-4o-mini,v2_structured,20251205_160208,train
3972,감정표현,뉴스 기사체,단문,오늘은 정말 행복해.,"Today, I am really happy.",gpt-4o-mini,v2_structured,20251205_160208,train
1113,건강,SNS 스타일,원인·결과문,부정적인 생각은 정신 건강에 좋지 않아.,Negative thinking is harmful to your mental health.,gpt-4o-mini,v2_structured,20251205_160208,train
8161,IT/AI,문어체(보고서 스타일),비교문,자율주행차는 기존 차량과 비교했을 때 더 안전성을 제공합니다.,Autonomous vehicles offer greater safety compared to traditional cars.,gpt-4o-mini,v2_structured,20251205_160208,train
2153,기술,기술 설명체,복문,사물인터넷은 일상생활에 혁신을 가져오고 있다.,The Internet of Things is bringing innovation to everyday life.,gpt-4o-mini,v2_structured,20251205_160208,train
2693,업무,감정 표현 스타일,복문,팀원들과의 소통이 원활하게 이루어져야 해요.,Communication with team members must be smooth for us to succeed.,gpt-4o-mini,v2_structured,20251205_160208,train
8285,IT/AI,뉴스 기사체,비교문,자율주행차는 교통사고를 줄일 수 있는 잠재력이 있다.,Self-driving cars have the potential to reduce traffic accidents.,gpt-4o-mini,v2_structured,20251205_160208,train
2895,교육,대화체,원인·결과문,교육은 미래의 기회를 만들어 줘.,Education creates opportunities for the future.,gpt-4o-mini,v2_structured,20251205_160208,train
3762,시간관리,고객센터 안내 스타일,조건문,할 일을 우선순위에 따라 정리해 보세요.,Try organizing your tasks by priority.,gpt-4o-mini,v2_structured,20251205_160208,train
